Слово,Транскрипция
хемогенный,xʲɪmɐˈɡʲenːɨɪ̯
хемолюминесценция,ˌxʲeməlʲʉmʲɪnʲɪˈst͡sɛnt͡sɨɪ̯ə
хеморецептор,ˌxʲemərʲɪˈt͡sɛptər
хеморецепция,ˌxʲemərʲɪˈt͡sɛpt͡sɨɪ̯ə
хемосинтез,ˌxʲemɐˈsʲintɛs
хемосинтетический,ˌxʲeməsʲɪntɛˈtʲit͡ɕɪskʲɪɪ̯
хемосорбция,xʲɪmɐˈsorpt͡sɨɪ̯ə
хемостерилянт,ˌxʲeməsʲtʲɪrʲɪˈlʲant
хемосфера,xʲɪmɐˈsfʲerə
хемотаксис,xʲɪmɐˈtaksʲɪs
хемотрон,xʲɪmɐˈtron
хемотроника,xʲɪmɐˈtronʲɪkə
хемотропизм,ˌxʲemətrɐˈpʲizm
хемофоссилия,ˌxʲeməfɐˈsʲilʲɪɪ̯ə
хемоядерный,ˌxʲemɐˈjædʲɪrnɨɪ̯
хенекен,ˈxʲenʲɪkʲɪn
хеппенинг,ˈxɛpʲɪnʲɪnk
хеппи-энд,ˌxɛpʲɪ ˈɛnt
хер,xʲer
херем,ˈxʲerʲɪm
херес,ˈxʲerʲɪs
херить,ˈxʲerʲɪtʲ
херня,xʲɪrˈnʲa
херсонец,xʲɪrˈsonʲɪt͡s
херсонский,xʲɪrˈsonskʲɪɪ̯
херувим,xʲɪrʊˈvʲim
херувимский,xʲɪrʊˈvʲimskʲɪɪ̯
херувимчик,xʲɪrʊˈvʲimt͡ɕɪk
хет-трик,ˌxɛt ˈtrʲik
хетогнат,xʲɪtɐˈɡnat
хетт,xʲet
хеттеянка,xʲɪtʲɪˈjankə
хеттолог,xʲɪˈtoɫək
хеттология,xʲɪtɐˈɫoɡʲɪɪ̯ə
хеттский,ˈxʲet͡skʲɪɪ̯
хетты,xʲet
хеш,xɛʂ
хеш-код,ˌxʲeʂ ˈkot
хеш-кодирование,ˌxʲeʂ kɐˈdʲirəvənʲɪɪ̯ə
хеш-функция,ˌxʲeʂ ˈfunkt͡sɨɪ̯ə
хеширование,xʲɪˈʂɨrəvənʲɪɪ̯ə
хм,xm
хмарь,xmarʲ
хмелевод,xmʲɪlʲɪˈvot
хмелеводство,xmʲɪlʲɪˈvot͡stvə
хмелеводческий,xmʲɪlʲɪˈvot͡ɕːɪskʲɪɪ̯
хмелевой,xmʲɪlʲɪˈvoɪ̯
хмелеграб,xmʲɪlʲɪˈɡrap
хмелек,xmʲɪˈlʲɵk
хмелеть,xmʲɪˈlʲetʲ
хмелеуборочный,ˌxmʲelʲɪʊˈborət͡ɕnɨɪ̯
хмелина,xmʲɪˈlʲinə
хмелить,xmʲɪˈlʲitʲ
хмель,xmʲelʲ
хмельник,ˈxmʲelʲnʲɪk
хмельно,xmʲɪlʲˈno
хмельной,xmʲɪlʲˈnoɪ̯
хмелёк,xmʲɪˈlʲɵk
хмурить,ˈxmurʲɪtʲ
хмуриться,ˈxmurʲɪt͡sə
хмуро,ˈxmurə
хмуровато,xmʊrɐˈvatə
хмуроватый,xmʊrɐˈvatɨɪ̯
хмурость,ˈxmurəsʲtʲ
хмурый,ˈxmurɨɪ̯
хмурь,xmurʲ
хмурящий,ˈxmurʲɪɕːɪɪ̯
хмурящийся,ˈxmurʲɪɕːɪɪ̯sʲə
хмыкание,ˈxmɨkənʲɪɪ̯ə
хмыканье,ˈxmɨkənʲɪ̯ə
хмыкать,ˈxmɨkətʲ
хмыкнуть,ˈxmɨknʊtʲ
хмырь,xmɨrʲ
хна,xna
хны,xnɨ
хныкала,ˈxnɨkətʲ
хныканье,ˈxnɨkənʲɪ̯ə
хныкать,ˈxnɨkətʲ
хныкающий,ˈxnɨkəjʉɕːɪɪ̯
хныкнуть,ˈxnɨknʊtʲ
хнычущий,ˈxnɨt͡ɕʉɕːɪɪ̯
хтонический,xtɐˈnʲit͡ɕɪskʲɪɪ̯
хуацяо,xʊɐˈtʲ͡sʲao
худать,xʊˈdatʲ
худее,xʊˈdʲeɪ̯ə
худенький,ˈxudʲɪnʲkʲɪɪ̯
худеть,xʊˈdʲetʲ
худить,xʊˈdʲitʲ
худищий,xʊˈdʲiɕːɪɪ̯
худо,ˈxudə
худо-бедно,ˌxudə ˈbʲednə
худоба,xʊˈdobə
художественно,xʊˈdoʐɨstvʲɪnːə
художественно-документальный,xʊˌdoʐɨstvʲɪnːə dəkʊmʲɪnˈtalʲnɨɪ̯
художественно-конструкторский,xʊˌdoʐɨstvʲɪnːə kɐnˈstruktərskʲɪɪ̯
художественно-публицистический,xʊˌdoʐɨstvʲɪnːə pʊblʲɪt͡sɨˈsʲtʲit͡ɕɪskʲɪɪ̯
художественность,xʊˈdoʐɨstvʲɪnːəsʲtʲ
художественный,xʊˈdoʐɨstvʲɪnːɨɪ̯
художество,xʊˈdoʐɨstvə
художник,xʊˈdoʐnʲɪk
художник-иллюстратор,xʊˈdoʐnʲɪk ɪlʲʊˈstratər
художник-модельер,xʊˈdoʐnʲɪk mədɛˈlʲjer
художник-оформитель,xʊˈdoʐnʲɪk ɐfɐrˈmʲitʲɪlʲ
художник-постановщик,xʊˈdoʐnʲɪk pəstɐˈnofɕːɪk
художница,xʊˈdoʐnʲɪt͡sə
художнически,xʊˈdoʐnʲɪt͡ɕɪskʲɪ
художнический,xʊˈdoʐnʲɪt͡ɕɪskʲɪɪ̯
художничество,xʊˈdoʐnʲɪt͡ɕɪstvə
худой,xʊˈdoɪ̯
худоконный,xʊdɐˈkonːɨɪ̯
худородный,xʊdɐˈrodnɨɪ̯
худородство,xʊdɐˈrot͡stvə
худосочие,xʊdɐˈsot͡ɕɪɪ̯ə
худосочный,xʊdɐˈsot͡ɕnɨɪ̯
худость,ˈxudəsʲtʲ
худотелый,xʊdɐˈtʲeɫɨɪ̯
худощавость,xʊdɐˈɕːavəsʲtʲ
худощавый,xʊdɐˈɕːavɨɪ̯
худрук,xʊˈdruk
худсовет,xʊt͡ssɐˈvʲet
худущий,xʊˈduɕːɪɪ̯
худший,ˈxut͡ʂʂɨɪ̯
худышка,xʊˈdɨʂkə
худющий,xʊˈdʲʉɕːɪɪ̯
хуеплёт,xʊɪ̯ɪˈplʲɵt
хуесос,xʊɪ̯ɪˈsos
хуета,xʊɪ̯ɪˈta
хуже,ˈxuʐə
хужеть,xʊˈʐɛtʲ
хуи,xʊɪ
хуй,xuɪ̯
хуйня,xʊɪ̯ˈnʲa
хук,xuk
хула,xʊˈɫa
хула-хуп,ˌxuɫə ˈxup
хулахуп,xʊɫɐˈxup
хуление,xʊˈlʲenʲɪɪ̯ə
хулиган,xʊlʲɪˈɡan
хулиганистый,xʊlʲɪˈɡanʲɪstɨɪ̯
хулиганить,xʊlʲɪˈɡanʲɪtʲ
хулиганка,xʊlʲɪˈɡankə
хулигански,xʊlʲɪˈɡanskʲɪ
хулиганский,xʊlʲɪˈɡanskʲɪɪ̯
хулиганство,xʊlʲɪˈɡanstvə
хулиганствовать,xʊlʲɪˈɡanstvəvətʲ
хулиганствующий,xʊlʲɪˈɡanstvʊjʉɕːɪɪ̯
хулиганье,xʊlʲɪɡɐˈnʲjɵ
хулиганьё,xʊlʲɪɡɐˈnʲjɵ
хулиганящий,xʊlʲɪˈɡanʲɪɕːɪɪ̯
хулитель,xʊˈlʲitʲɪlʲ
хулительница,xʊˈlʲitʲɪlʲnʲɪt͡sə
хулить,xʊˈlʲitʲ
хулённый,xʊˈlʲɵnːɨɪ̯
хунвейбин,xʊnvɛɪ̯ˈbʲin
хунну,ˈxunːʊ
хунта,ˈxuntə
хунтовский,ˈxuntəfskʲɪɪ̯
хунхуз,xʊnˈxus
хурал,xʊˈraɫ
хурма,xʊrˈma
хуррит,xʊˈrʲit
хурритский,xʊˈrʲit͡skʲɪɪ̯
хутба,ˈxudbə
хутор,ˈxutər
хуторишко,xʊtɐˈrʲiʂkə
хуторной,ˈxutərnɨɪ̯
хуторный,ˈxutərnɨɪ̯
хуторок,xʊtɐˈrok
хуторской,xʊtɐrˈskoɪ̯
хуторянин,xʊtɐˈrʲænʲɪn
хуторянка,xʊtɐˈrʲankə
хуту,ˈxutʊ
хухры-мухры,xʊˌxrɨ mʊˈxrɨ
хуцинь,xʊˈt͡sɨnʲ
хуэй,xʊˈɛɪ̯
хуякнуть,xʊˈjaknʊtʲ
хуястый,xʊˈjastɨɪ̯
хуёвый,xʊˈjɵvɨɪ̯
хэбэ,xɛˈbɛ
хэви-металл,ˌxɛvʲɪ ˈmʲetəɫ
хэдлайнер,xɛˈdɫaɪ̯nʲɪr
хэнд,xɛnt
хэппенинг,ˈxɛpʲɪnʲɪnk
хэш,xɛʂ
хянга,ˈxʲanɡə
ЦБ,t͡sɨˈbɛ
ЦК,t͡sɛˈka
ЦП,t͡sɨˈpɛ
ЦПУ,t͡sɨpɛˈu
ЦРУ,t͡sɛrɛˈu
ЦТП,t͡sɨtɛˈpɛ
Цуканов,t͡sʊˈkanəf
Цусима,t͡sʊˈsʲimə
Цыбик,ˈt͡sɨbʲɪk
Цыбин,ˈt͡sɨbʲɪn
Цыганкин,t͡sɨˈɡankʲɪn
Цыганов,t͡sɨɡɐˈnof
Цыплаков,t͡sɨpɫɐˈkof
Цыцын,ˈt͡sɨt͡sɨn
Цюрих,ˈtʲ͡sʲʉrʲɪx
цзаофань,d͡zzɐɐˈfanʲ
цзяо,ˈdʲ͡zʲzʲao
цоизит,t͡səɪˈzʲit
цок,t͡sok
цоканье,ˈt͡sokənʲɪ̯ə
цокать,ˈt͡sokətʲ
цокнуть,ˈt͡soknʊtʲ
цоколь,ˈt͡sokəlʲ
цокольный,ˈt͡sokəlʲnɨɪ̯
цоколёвка,t͡səkɐˈlʲɵfkə
цокот,ˈt͡sokət
цокотание,t͡səkɐˈtanʲɪɪ̯ə
цокотанье,t͡səkɐˈtanʲɪ̯ə
цокотать,t͡səkɐˈtatʲ
цокотуха,t͡səkɐˈtuxə
цопать,ˈt͡sopətʲ
цопнуть,ˈt͡sopnʊtʲ
цуг,t͡suk
цуговой,t͡sʊɡɐˈvoɪ̯
цугом,ˈt͡suɡəm
цугундер,t͡sʊˈɡunʲdʲɪr
цугцванг,ˈt͡sukt͡svənk
цук,t͡suk
цуканье,t͡sʊˈkanʲɪ̯ə
цукат,t͡sʊˈkat
цукатный,t͡sʊˈkatnɨɪ̯
цукаты,t͡sʊˈkat
цукать,t͡sʊˈkatʲ
цукахара,t͡sʊkɐˈxarə
цукини,t͡sʊˈkʲinʲɪ
цунами,t͡sʊˈnamʲɪ
цунами-станция,t͡sʊˌnamʲɪ ˈstant͡sɨɪ̯ə
цунамиопасный,t͡sʊˌnamʲɪɐˈpasnɨɪ̯
цуцик,ˈt͡sut͡sɨk
цхинвалец,t͡sxʲɪnˈvalʲɪt͡s
цхинвальский,t͡sxʲɪnˈvalʲskʲɪɪ̯
цхинвальцы,t͡sxʲɪnˈvalʲɪt͡s
цы,t͡sɨ
цыган,t͡sɨˈɡan
цыгане,t͡sɨˈɡan
цыганистость,t͡sɨˈɡanʲɪstəsʲtʲ
цыганистый,t͡sɨˈɡanʲɪstɨɪ̯
цыганить,t͡sɨˈɡanʲɪtʲ
цыганка,t͡sɨˈɡankə
цыганочка,t͡sɨˈɡanət͡ɕkə
цыгански,t͡sɨˈɡanskʲɪ
цыганский,t͡sɨˈɡanskʲɪɪ̯
цыганствовать,t͡sɨˈɡanstvəvətʲ
цыганщина,t͡sɨˈɡanʲɕːɪnə
цыганёнок,t͡sɨɡɐˈnʲɵnək
цыканье,ˈt͡sɨkənʲɪ̯ə
цыкать,ˈt͡sɨkətʲ
цыкнуть,ˈt͡sɨknʊtʲ
цыновка,t͡sɨˈnofkə
цып-цып,ˌt͡sɨp ˈt͡sɨp
цыпа,ˈt͡sɨpə
цыпка,ˈt͡sɨpkə
цыпки,ˈt͡sɨpkʲɪ
цыпленок,t͡sɨˈplʲɵnək
цыплятина,t͡sɨˈplʲætʲɪnə
цыплятник,t͡sɨˈplʲætʲnʲɪk
цыплятница,t͡sɨˈplʲætʲnʲɪt͡sə
цыплячий,t͡sɨˈplʲæt͡ɕɪɪ̯
цыплёнок,t͡sɨˈplʲɵnək
цыплёночек,t͡sɨˈplʲɵnət͡ɕɪk
цыпонька,ˈt͡sɨpənʲkə
цыпочка,ˈt͡sɨpət͡ɕkə
цыпочки,ˈt͡sɨpət͡ɕkʲɪ
цыркать,ˈt͡sɨrkətʲ
цыркнуть,ˈt͡sɨrknʊtʲ
цыц,t͡sɨt͡s
цюрихец,ˈtʲ͡sʲʉrʲɪxʲɪt͡s
цюрихский,ˈtʲ͡sʲʉrʲɪxskʲɪɪ̯
цюрихцы,ˈtʲ͡sʲʉrʲɪxʲɪt͡s
цян,tʲ͡sʲan
ЧМ,t͡ɕɪˈɛm
ЧОН,t͡ɕɵn
ЧП,t͡ɕɪˈpɛ
ЧПУ,t͡ɕɪpɛˈu
ЧС,t͡ɕɪˈɛs
ЧЭЗ,t͡ɕɛs
Чкалов,ˈt͡ɕkaɫəf
Чохов,ˈt͡ɕɵxəf
Чёрный,ˈt͡ɕɵrnɨɪ̯
Чёртов,ˈt͡ɕɵrtəf
чваканье,ˈt͡ɕvakənʲɪ̯ə
чвакать,ˈt͡ɕvakətʲ
чваниться,ˈt͡ɕvanʲɪt͡sə
чванливо,t͡ɕvɐnˈlʲivə
чванливость,t͡ɕvɐnˈlʲivəsʲtʲ
чванливый,t͡ɕvɐnˈlʲivɨɪ̯
чванно,ˈt͡ɕvanːə
чванный,ˈt͡ɕvanːɨɪ̯
чванство,ˈt͡ɕvanstvə
чванящийся,ˈt͡ɕvanʲɪɕːɪɪ̯sʲə
чжурчжэньский,d͡ʐʐʊrˈd͡ʐʐɛnʲskʲɪɪ̯
чкаться,ˈt͡ɕkat͡sːə
член,t͡ɕlʲen
член-корреспондент,ˈt͡ɕlʲen kərʲɪspɐnʲˈdʲent
член-учредитель,ˈt͡ɕlʲen ʊt͡ɕrʲɪˈdʲitʲɪlʲ
членение,t͡ɕlʲɪˈnʲenʲɪɪ̯ə
членик,ˈt͡ɕlʲenʲɪk
членимость,t͡ɕlʲɪˈnʲiməsʲtʲ
членимый,t͡ɕlʲɪˈnʲimɨɪ̯
членистый,ˈt͡ɕlʲenʲɪstɨɪ̯
членить,t͡ɕlʲɪˈnʲitʲ
члениться,t͡ɕlʲɪˈnʲit͡sːə
членкор,t͡ɕlʲɪnˈkor
членкорский,t͡ɕlʲɪnˈkorskʲɪɪ̯
членкорство,t͡ɕlʲɪnˈkorstvə
членный,ˈt͡ɕlʲenːɨɪ̯
членовредитель,t͡ɕlʲɪnəvrʲɪˈdʲitʲɪlʲ
членовредительский,t͡ɕlʲɪnəvrʲɪˈdʲitʲɪlʲskʲɪɪ̯
членовредительство,t͡ɕlʲɪnəvrʲɪˈdʲitʲɪlʲstvə
членораздельно,t͡ɕlʲɪnərɐˈzʲdʲelʲnə
членораздельность,t͡ɕlʲɪnərɐˈzʲdʲelʲnəsʲtʲ
членораздельный,t͡ɕlʲɪnərɐˈzʲdʲelʲnɨɪ̯
членский,ˈt͡ɕlʲenskʲɪɪ̯
членство,ˈt͡ɕlʲenstvə
членствовать,ˈt͡ɕlʲenstvəvətʲ
членённый,t͡ɕlʲɪˈnʲɵnːɨɪ̯
чмо,t͡ɕmo
чмок,ˈt͡ɕmok
чмоканье,ˈt͡ɕmokənʲɪ̯ə
чмокать,ˈt͡ɕmokətʲ
чмокаться,ˈt͡ɕmokət͡sə
чмокнутый,ˈt͡ɕmoknʊtɨɪ̯
чмокнуть,ˈt͡ɕmoknʊtʲ
чмокнуться,ˈt͡ɕmoknʊt͡sə
чоканье,ˈt͡ɕɵkənʲɪ̯ə
чокать,ˈt͡ɕɵkətʲ
чокер,ˈt͡ɕɵkʲɪr
чокеровать,t͡ɕɪkʲɪrɐˈvatʲ
чокероваться,t͡ɕɪkʲɪrɐˈvat͡sːə
чокеровка,t͡ɕɪkʲɪˈrofkə
чокеровщик,t͡ɕɪkʲɪˈrofɕːɪk
чокнутый,ˈt͡ɕɵknʊtɨɪ̯
чокнуть,ˈt͡ɕɵknʊtʲ
чокнуться,ˈt͡ɕɵknʊt͡sə
чомга,ˈt͡ɕɵmɡə
чомпи,ˈt͡ɕɵm⁽ʲ⁾pʲɪ
чон,t͡ɕɵn
чоновец,ˈt͡ɕɵnəvʲɪt͡s
чопорно,ˈt͡ɕɵpərnə
чопорность,ˈt͡ɕɵpərnəsʲtʲ
чопорный,ˈt͡ɕɵpərnɨɪ̯
чорт,t͡ɕɵrt
чох,t͡ɕɵx
чоха,t͡ɕɪˈxa
чохом,ˈt͡ɕɵxəm
чреватость,t͡ɕrʲɪˈvatəsʲtʲ
чреватый,t͡ɕrʲɪˈvatɨɪ̯
чревный,ˈt͡ɕrʲevnɨɪ̯
чрево,ˈt͡ɕrʲevə
чревовещание,t͡ɕrʲɪvəvʲɪˈɕːænʲɪɪ̯ə
чревовещатель,t͡ɕrʲɪvəvʲɪˈɕːætʲɪlʲ
чревовещательница,t͡ɕrʲɪvəvʲɪˈɕːætʲɪlʲnʲɪt͡sə
чревосечение,t͡ɕrʲɪvəsʲɪˈt͡ɕenʲɪɪ̯ə
чревоугодие,t͡ɕrʲɪvəʊˈɡodʲɪɪ̯ə
чревоугодник,t͡ɕrʲɪvəʊˈɡodʲnʲɪk
чревоугодница,t͡ɕrʲɪvəʊˈɡodʲnʲɪt͡sə
чревоугодничать,t͡ɕrʲɪvəʊˈɡodʲnʲɪt͡ɕɪtʲ
чревоугоднический,t͡ɕrʲɪvəʊˈɡodʲnʲɪt͡ɕɪskʲɪɪ̯
чревоугодничество,t͡ɕrʲɪvəʊˈɡodʲnʲɪt͡ɕɪstvə
чреда,t͡ɕrʲɪˈda
чрез,t͡ɕrʲes
чрезбрюшинный,t͡ɕrʲɪzbrʲʊˈʂɨnːɨɪ̯
чрезвычайка,t͡ɕrʲɪzvɨˈt͡ɕæɪ̯kə
чрезвычайно,t͡ɕrʲɪzvɨˈt͡ɕæɪ̯nə
чрезвычайность,t͡ɕrʲɪzvɨˈt͡ɕæɪ̯nəsʲtʲ
чрезвычайный,t͡ɕrʲɪzvɨˈt͡ɕæɪ̯nɨɪ̯
чрезвычайщина,t͡ɕrʲɪzvɨˈt͡ɕæɪ̯ɕːɪnə
чрезмерно,t͡ɕrʲɪˈzmʲernə
чрезмерность,t͡ɕrʲɪˈzmʲernəsʲtʲ
чрезмерный,t͡ɕrʲɪˈzmʲernɨɪ̯
чрескожный,t͡ɕrʲɪˈskoʐnɨɪ̯
чресла,ˈt͡ɕrʲesɫə
чресполосица,t͡ɕrʲɪspɐˈɫosʲɪt͡sə
чресседельник,t͡ɕrʲɪsʲːɪˈdʲelʲnʲɪk
чтение,ˈt͡ɕtʲenʲɪɪ̯ə
чтец,t͡ɕtʲet͡s
чтец-декламатор,ˈt͡ɕtʲed͡z dʲɪkɫɐˈmatər
чтецкий,ˈt͡ɕtʲet͡skʲɪɪ̯
чтиво,ˈt͡ɕtʲivə
чтимый,ˈt͡ɕtʲimɨɪ̯
чтить,t͡ɕtʲitʲ
чтиться,ˈt͡ɕtʲit͡sːə
чтица,ˈt͡ɕtʲit͡sə
что,ʂto
что-либо,ˈʂto‿lʲɪbə
что-нибудь,ˈʂto‿nʲɪbʊtʲ
что-то,ˈʂto‿tə
чтоб,ʂtop
чтобы,ˌʂtobɨ
чтомый,ˈt͡ɕtomɨɪ̯
чтущий,ˈt͡ɕtuɕːɪɪ̯
чтящий,ˈt͡ɕtʲæɕːɪɪ̯
чхать,t͡ɕxatʲ
чхнуть,t͡ɕxnutʲ
чья,t͡ɕeɪ̯
чьё,t͡ɕeɪ̯
чё,t͡ɕɵ
чёлка,ˈt͡ɕɵɫkə
чёлн,t͡ɕɵɫn
чёлочка,ˈt͡ɕɵɫət͡ɕkə
чёрканный,ˈt͡ɕɵrkənːɨɪ̯
чёрканье,ˈt͡ɕɵrkənʲɪ̯ə
чёркать,ˈt͡ɕɵrkətʲ
чёрненький,ˈt͡ɕɵrnʲɪnʲkʲɪɪ̯
чёрно-белый,ˌt͡ɕɵrnə ˈbʲeɫɨɪ̯
чёрно-бурый,ˌt͡ɕɵrnə ˈburɨɪ̯
чёрно-пегий,ˌt͡ɕɵrnə ˈpʲeɡʲɪɪ̯
чёрный,ˈt͡ɕɵrnɨɪ̯
чёрным,ˈt͡ɕɵrnɨɪ̯
чёрствость,ˈt͡ɕɵrstvəsʲtʲ
чёрствый,ˈt͡ɕɵrstvɨɪ̯
чёрт,t͡ɕɵrt
чёрта,t͡ɕɵrt
чёртик,ˈt͡ɕɵrtʲɪk
чёртов,ˈt͡ɕɵrtəf
чёрточка,ˈt͡ɕɵrtət͡ɕkə
чёртушка,ˈt͡ɕɵrtʊʂkə
чёс,t͡ɕɵs
чёсанец,ˈt͡ɕɵsənʲɪt͡s
чёсанный,ˈt͡ɕɵsənːɨɪ̯
чёсанок,ˈt͡ɕɵsənək
чёсаный,ˈt͡ɕɵsənɨɪ̯
чёска,ˈt͡ɕɵskə
чёт,t͡ɕɵt
чётки,ˈt͡ɕɵtkʲɪ
чёткий,ˈt͡ɕɵtkʲɪɪ̯
чётко,ˈt͡ɕɵtkə
чёткость,ˈt͡ɕɵtkəsʲtʲ
чётность,ˈt͡ɕɵtnəsʲtʲ
чётный,ˈt͡ɕɵtnɨɪ̯
Швейцария,ʂvʲɪɪ̯ˈt͡sarʲɪɪ̯ə
Швеция,ˈʂvʲet͡sɨɪ̯ə
Шмидт,ʂmʲit
Шолохов,ˈʂoɫəxəf
Шопин,ˈʂopʲɪn
Шорин,ˈʂorʲɪn
Шотландия,ʂɐˈtɫanʲdʲɪɪ̯ə
шваб,ʂvap
швабка,ˈʂvapkə
швабра,ˈʂvabrə
швабровый,ˈʂvabrəvɨɪ̯
швабский,ˈʂvapskʲɪɪ̯
швабы,ʂvap
шваль,ʂvalʲ
швальня,ˈʂvalʲnʲə
шванк,ʂvank
шванновский,ˈʂvanːəfskʲɪɪ̯
шварканье,ˈʂvarkənʲɪ̯ə
шваркать,ˈʂvarkətʲ
шваркаться,ˈʂvarkət͡sə
шваркнуть,ˈʂvarknʊtʲ
шваркнуться,ˈʂvarknʊt͡sə
шварт,ʂvart
швартов,ʂvɐrˈtof
швартование,ʂvərtɐˈvanʲɪɪ̯ə
швартованный,ʂvɐrˈtovənːɨɪ̯
швартовать,ʂvərtɐˈvatʲ
швартоваться,ʂvərtɐˈvat͡sːə
швартовить,ʂvɐrˈtovʲɪtʲ
швартовиться,ʂvɐrˈtovʲɪt͡sə
швартовка,ʂvɐrˈtofkə
швартовный,ʂvɐrˈtovnɨɪ̯
швах,ʂvax
швед,ʂvʲet
шведка,ˈʂvʲetkə
шведский,ˈʂvʲet͡skʲɪɪ̯
шведы,ʂvʲet
швейка,ˈʂvʲeɪ̯kə
швейник,ˈʂvʲeɪ̯nʲɪk
швейница,ˈʂvʲeɪ̯nʲɪt͡sə
швейный,ˈʂvʲeɪ̯nɨɪ̯
швейцар,ʂvʲɪɪ̯ˈt͡sar
швейцарец,ʂvʲɪɪ̯ˈt͡sarʲɪt͡s
швейцариха,ʂvʲɪɪ̯ˈt͡sarʲɪxə
швейцарка,ʂvʲɪɪ̯ˈt͡sarkə
швейцарская,ʂvʲɪɪ̯ˈt͡sarskəɪ̯ə
швейцарский,ʂvʲɪɪ̯ˈt͡sarskʲɪɪ̯
швейцарцы,ʂvʲɪɪ̯ˈt͡sarʲɪt͡s
швеллер,ˈʂvʲelʲːɪr
швеллерный,ˈʂvʲelʲːɪrnɨɪ̯
швермер,ˈʂvʲermʲɪr
шверт,ʂvʲert
швертбот,ʂvʲɪrdˈbot
швец,ʂvʲet͡s
швея,ʂvʲɪˈja
швея-мотористка,ʂvʲɪˈja mətɐˈrʲistkə
швея-ручница,ʂvʲɪˈja rʊt͡ɕˈnʲit͡sə
швиц,ʂvʲit͡s
шворень,ˈʂvorʲɪnʲ
шворневой,ʂvərnʲɪˈvoɪ̯
швырковый,ʂvɨrˈkovɨɪ̯
швырнуть,ʂvɨrˈnutʲ
швырнуться,ʂvɨrˈnut͡sːə
швырок,ʂvɨˈrok
швырялка,ʂvɨˈrʲaɫkə
швыряние,ʂvɨˈrʲænʲɪɪ̯ə
швырянный,ˈʂvɨrʲɪnːɨɪ̯
швырять,ʂvɨˈrʲætʲ
швыряться,ʂvɨˈrʲat͡sːə
шмак,ʂmak
шмаков,ʂmak
шмакодявка,ʂməkɐˈdʲafkə
шмальтин,ʂmɐlʲˈtʲin
шмалять,ʂmɐˈlʲætʲ
шмара,ˈʂmarə
шмат,ʂmat
шматок,ʂmɐˈtok
шмелиный,ʂmʲɪˈlʲinɨɪ̯
шмель,ʂmʲelʲ
шмель-плотник,ˈʂmʲelʲ ˈpɫotʲnʲɪk
шмон,ʂmon
шмонать,ʂmɐˈnatʲ
шмотки,ˈʂmotkʲɪ
шмотьё,ʂmɐˈtʲjɵ
шмурыгать,ʂmʊˈrɨɡətʲ
шмурыгнуть,ʂmʊˈrɨɡnʊtʲ
шмуцроль,ʂmʊt͡sˈrolʲ
шмуцтитул,ʂmʊt͡sˈtʲitʊɫ
шмыг,ʂmɨk
шмыганье,ˈʂmɨɡənʲɪ̯ə
шмыгать,ˈʂmɨɡətʲ
шмыгнуть,ˈʂmɨɡnʊtʲ
шмяк,ʂmʲak
шмякать,ˈʂmʲakətʲ
шмякаться,ˈʂmʲakət͡sə
шмякнутый,ˈʂmʲaknʊtɨɪ̯
шмякнуть,ˈʂmʲaknʊtʲ
шмякнуться,ˈʂmʲaknʊt͡sə
шнапс,ʂnaps
шнапс-идея,ˌʂnapsɨˈdʲeɪ̯ə
шнауцер,ˈʂnaʊt͡sɨr
шнек,ʂnɛk
шнека,ˈʂnʲekə
шнековый,ˈʂnɛkəvɨɪ̯
шнеллер,ˈʂnɛlʲɪr
шнитт-лук,ˌʂnʲit ˈɫuk
шницель,ˈʂnʲit͡sɨlʲ
шнобель,ˈʂnobʲɪlʲ
шноркель,ˈʂnorkʲɪlʲ
шнур,ʂnur
шнуровальный,ʂnʊrɐˈvalʲnɨɪ̯
шнурование,ʂnʊrɐˈvanʲɪɪ̯ə
шнурованный,ʂnʊˈrovənːɨɪ̯
шнуровать,ʂnʊrɐˈvatʲ
шнуроваться,ʂnʊrɐˈvat͡sːə
шнуровка,ʂnʊˈrofkə
шнуровой,ʂnʊrɐˈvoɪ̯
шнурок,ʂnʊˈrok
шнурочек,ʂnʊˈrot͡ɕɪk
шнырить,ˈʂnɨrʲɪtʲ
шнырнуть,ʂnɨrˈnutʲ
шнырять,ʂnɨˈrʲætʲ
шнява,ˈʂnʲavə
шобла,ˈʂobɫə
шов,ʂof
шовинизм,ʂəvʲɪˈnʲizm
шовинист,ʂəvʲɪˈnʲist
шовинистический,ʂəvʲɪnʲɪˈsʲtʲit͡ɕɪskʲɪɪ̯
шовинистка,ʂəvʲɪˈnʲistkə
шовинистский,ʂəvʲɪˈnʲisːkʲɪɪ̯
шовный,ˈʂovnɨɪ̯
шовчик,ˈʂoft͡ɕɪk
шок,ʂok
шокер,ˈʂokʲɪr
шокинг,ˈʂokʲɪnk
шокированный,ʂɐˈkʲirəvənːɨɪ̯
шокировать,ʂɐˈkʲirəvətʲ
шокироваться,ʂɐˈkʲirəvət͡sə
шоковый,ˈʂokəvɨɪ̯
шоколад,ʂəkɐˈɫat
шоколадка,ʂəkɐˈɫatkə
шоколадник,ʂəkɐˈɫadʲnʲɪk
шоколадница,ʂəkɐˈɫadʲnʲɪt͡sə
шоколадный,ʂəkɐˈɫadnɨɪ̯
шокотерапия,ˌʂokətʲɪrɐˈpʲiɪ̯ə
